Document Set,Prompt,# Docs to Rerank,n-ary Heap,tokens,LLM,nDCG@10,command,path
DL19,Original,100,19-ary,450,Mixtral,0.588544347751063,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 19 --output runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/19ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/19ary/reranked.run
DL19,Original,100,19-ary,450,Qwen,0.685403603955013,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 19 --output runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank100/19ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank100/19ary/reranked.run
DL19,Original,100,4-ary,450,llama-3,0.717753594672668,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 4 --output runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank100/4ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank100/4ary/reranked.run
DL19,Original,100,4-ary,450,Mixtral,0.632696106386914,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 4 --output runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/4ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/4ary/reranked.run
DL19,Original,100,4-ary,450,Qwen,0.682607102844537,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 4 --output runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank100/4ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank100/4ary/reranked.run
DL19,Original,100,9-ary,450,llama-3,0.724124879422353,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 9 --output runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank100/9ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank100/9ary/reranked.run
DL19,Original,100,9-ary,450,Mixtral,0.639363889898239,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 9 --output runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/9ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/9ary/reranked.run
DL19,Original,100,9-ary,450,Qwen,0.681600223410987,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 9 --output runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank100/9ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank100/9ary/reranked.run
DL19,Original,1000,19-ary,450,llama-3,0.721474932574267,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 19 --output runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank1000/19ary/reranked.run --prompt original --rerankN 1000 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank1000/19ary/reranked.run
DL19,Original,1000,19-ary,450,Mixtral,0.593866034289135,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 19 --output runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank1000/19ary/reranked.run --prompt original --rerankN 1000 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank1000/19ary/reranked.run
DL19,Original,1000,19-ary,450,Qwen,0.690151871440322,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 19 --output runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank1000/19ary/reranked.run --prompt original --rerankN 1000 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank1000/19ary/reranked.run
DL19,Original,1000,4-ary,450,llama-3,0.734856771906151,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 4 --output runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank1000/4ary/reranked.run --prompt original --rerankN 1000 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank1000/4ary/reranked.run
DL19,Original,1000,4-ary,450,Mixtral,0.638429674622741,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 4 --output runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank1000/4ary/reranked.run --prompt original --rerankN 1000 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank1000/4ary/reranked.run
DL19,Original,1000,4-ary,450,Qwen,0.674770822075445,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 4 --output runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank1000/4ary/reranked.run --prompt original --rerankN 1000 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank1000/4ary/reranked.run
DL19,Original,1000,9-ary,450,llama-3,0.7208439849999,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 9 --output runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank1000/9ary/reranked.run --prompt original --rerankN 1000 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Llama-3.3-70B-Instruct/k10/original/rerank1000/9ary/reranked.run
DL19,Original,1000,9-ary,450,Mixtral,0.637707295357879,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 9 --output runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank1000/9ary/reranked.run --prompt original --rerankN 1000 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank1000/9ary/reranked.run
DL19,Original,1000,9-ary,450,Qwen,0.679883496695647,--collection data/dl19/450_collection_passage.tsv --input dl19/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 9 --output runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank1000/9ary/reranked.run --prompt original --rerankN 1000 --topics dl19/topics.jsonl --topk 10,runs/dl19/450/Qwen2.5-72B-Instruct/k10/original/rerank1000/9ary/reranked.run
DL19,Original,100,19-ary,1st 128,llama-3,0.726270529293171,--collection data/dl19/first128_collection_passage.tsv --input dl19/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 19 --output runs/dl19/first128/Llama-3.3-70B-Instruct/k10/original/rerank100/19ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/first128/Llama-3.3-70B-Instruct/k10/original/rerank100/19ary/reranked.run
DL19,Original,100,19-ary,1st 128,Mixtral,0.602198894976322,--collection data/dl19/first128_collection_passage.tsv --input dl19/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 19 --output runs/dl19/first128/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/19ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/first128/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/19ary/reranked.run
DL19,Original,100,19-ary,1st 128,Qwen,0.687585300606413,--collection data/dl19/first128_collection_passage.tsv --input dl19/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 19 --output runs/dl19/first128/Qwen2.5-72B-Instruct/k10/original/rerank100/19ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/first128/Qwen2.5-72B-Instruct/k10/original/rerank100/19ary/reranked.run
DL19,Original,100,4-ary,1st 128,llama-3,0.720997247477463,--collection data/dl19/first128_collection_passage.tsv --input dl19/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 4 --output runs/dl19/first128/Llama-3.3-70B-Instruct/k10/original/rerank100/4ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/first128/Llama-3.3-70B-Instruct/k10/original/rerank100/4ary/reranked.run
DL19,Original,100,4-ary,1st 128,Mixtral,0.642499299727994,--collection data/dl19/first128_collection_passage.tsv --input dl19/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 4 --output runs/dl19/first128/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/4ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/first128/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/4ary/reranked.run
DL19,Original,100,4-ary,1st 128,Qwen,0.677262007358738,--collection data/dl19/first128_collection_passage.tsv --input dl19/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 4 --output runs/dl19/first128/Qwen2.5-72B-Instruct/k10/original/rerank100/4ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/first128/Qwen2.5-72B-Instruct/k10/original/rerank100/4ary/reranked.run
DL19,Original,100,9-ary,1st 128,llama-3,0.723861339664126,--collection data/dl19/first128_collection_passage.tsv --input dl19/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 9 --output runs/dl19/first128/Llama-3.3-70B-Instruct/k10/original/rerank100/9ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/first128/Llama-3.3-70B-Instruct/k10/original/rerank100/9ary/reranked.run
DL19,Original,100,9-ary,1st 128,llama-3-8b,0.647633488397116,--collection data/dl19/first128_collection_passage.tsv --input dl19/bm25.run --model meta-llama/Llama-3.1-8B-Instruct --nary 9 --output runs/dl19/first128/Llama-3.1-8B-Instruct/k10/original/rerank100/9ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/first128/Llama-3.1-8B-Instruct/k10/original/rerank100/9ary/reranked.run
DL19,Original,100,9-ary,1st 128,Mixtral,0.636435256230112,--collection data/dl19/first128_collection_passage.tsv --input dl19/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 9 --output runs/dl19/first128/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/9ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/first128/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/9ary/reranked.run
DL19,Original,100,9-ary,1st 128,Qwen,0.677238460708756,--collection data/dl19/first128_collection_passage.tsv --input dl19/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 9 --output runs/dl19/first128/Qwen2.5-72B-Instruct/k10/original/rerank100/9ary/reranked.run --prompt original --rerankN 100 --topics dl19/topics.jsonl --topk 10,runs/dl19/first128/Qwen2.5-72B-Instruct/k10/original/rerank100/9ary/reranked.run
DL20,Original,30,19-ary,450,llama-3,0.639055588671826,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 19 --output runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank30/19ary/reranked.run --prompt original --rerankN 30 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank30/19ary/reranked.run
DL20,Original,30,19-ary,450,Mixtral,0.569486792846684,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 19 --output runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank30/19ary/reranked.run --prompt original --rerankN 30 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank30/19ary/reranked.run
DL20,Original,30,19-ary,450,Qwen,0.647918494420516,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 19 --output runs/dl20/450/Qwen2.5-72B-Instruct/k10/original/rerank30/19ary/reranked.run --prompt original --rerankN 30 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Qwen2.5-72B-Instruct/k10/original/rerank30/19ary/reranked.run
DL20,Original,30,4-ary,450,llama-3,0.641438395910701,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 4 --output runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank30/4ary/reranked.run --prompt original --rerankN 30 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank30/4ary/reranked.run
DL20,Original,30,4-ary,450,Mixtral,0.602470105366046,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 4 --output runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank30/4ary/reranked.run --prompt original --rerankN 30 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank30/4ary/reranked.run
DL20,Original,30,4-ary,450,Qwen,0.646018027734356,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 4 --output runs/dl20/450/Qwen2.5-72B-Instruct/k10/original/rerank30/4ary/reranked.run --prompt original --rerankN 30 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Qwen2.5-72B-Instruct/k10/original/rerank30/4ary/reranked.run
DL20,Original,30,9-ary,450,llama-3,0.642685641415272,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 9 --output runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank30/9ary/reranked.run --prompt original --rerankN 30 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank30/9ary/reranked.run
DL20,Original,30,9-ary,450,Mixtral,0.579709444346187,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 9 --output runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank30/9ary/reranked.run --prompt original --rerankN 30 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank30/9ary/reranked.run
DL20,Original,30,9-ary,450,Qwen,0.643150268042735,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 9 --output runs/dl20/450/Qwen2.5-72B-Instruct/k10/original/rerank30/9ary/reranked.run --prompt original --rerankN 30 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Qwen2.5-72B-Instruct/k10/original/rerank30/9ary/reranked.run
DL20,Original,100,19-ary,450,llama-3,0.699731103801667,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 19 --output runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank100/19ary/reranked.run --prompt original --rerankN 100 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank100/19ary/reranked.run
DL20,Original,100,19-ary,450,Mixtral,0.570518237897635,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 19 --output runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/19ary/reranked.run --prompt original --rerankN 100 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/19ary/reranked.run
DL20,Original,100,19-ary,450,Qwen,0.646787755049256,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 19 --output runs/dl20/450/Qwen2.5-72B-Instruct/k10/original/rerank100/19ary/reranked.run --prompt original --rerankN 100 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Qwen2.5-72B-Instruct/k10/original/rerank100/19ary/reranked.run
DL20,Original,100,4-ary,450,llama-3,0.686130881132369,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 4 --output runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank100/4ary/reranked.run --prompt original --rerankN 100 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank100/4ary/reranked.run
DL20,Original,100,4-ary,450,Mixtral,0.605538992969372,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 4 --output runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/4ary/reranked.run --prompt original --rerankN 100 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/4ary/reranked.run
DL20,Original,100,4-ary,450,Qwen,0.637118504018223,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 4 --output runs/dl20/450/Qwen2.5-72B-Instruct/k10/original/rerank100/4ary/reranked.run --prompt original --rerankN 100 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Qwen2.5-72B-Instruct/k10/original/rerank100/4ary/reranked.run
DL20,Original,100,9-ary,450,llama-3,0.700964998230412,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 9 --output runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank100/9ary/reranked.run --prompt original --rerankN 100 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank100/9ary/reranked.run
DL20,Original,100,9-ary,450,Mixtral,0.571932473131086,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 9 --output runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/9ary/reranked.run --prompt original --rerankN 100 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank100/9ary/reranked.run
DL20,Original,100,9-ary,450,Qwen,0.64372668913242,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 9 --output runs/dl20/450/Qwen2.5-72B-Instruct/k10/original/rerank100/9ary/reranked.run --prompt original --rerankN 100 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Qwen2.5-72B-Instruct/k10/original/rerank100/9ary/reranked.run
DL20,Original,1000,19-ary,450,llama-3,0.749072798416523,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 19 --output runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank1000/19ary/reranked.run --prompt original --rerankN 1000 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank1000/19ary/reranked.run
DL20,Original,1000,19-ary,450,Mixtral,0.567274141424548,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 19 --output runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank1000/19ary/reranked.run --prompt original --rerankN 1000 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank1000/19ary/reranked.run
DL20,Original,1000,19-ary,450,Qwen,0.637087286402449,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 19 --output runs/dl20/450/Qwen2.5-72B-Instruct/k10/original/rerank1000/19ary/reranked.run --prompt original --rerankN 1000 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Qwen2.5-72B-Instruct/k10/original/rerank1000/19ary/reranked.run
DL20,Original,1000,4-ary,450,llama-3,0.688898613965712,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 4 --output runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank1000/4ary/reranked.run --prompt original --rerankN 1000 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank1000/4ary/reranked.run
DL20,Original,1000,4-ary,450,Mixtral,0.597551402120722,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 4 --output runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank1000/4ary/reranked.run --prompt original --rerankN 1000 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank1000/4ary/reranked.run
DL20,Original,1000,4-ary,450,Qwen,0.637742372312896,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model Qwen/Qwen2.5-72B-Instruct --nary 4 --output runs/dl20/450/Qwen2.5-72B-Instruct/k10/original/rerank1000/4ary/reranked.run --prompt original --rerankN 1000 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Qwen2.5-72B-Instruct/k10/original/rerank1000/4ary/reranked.run
DL20,Original,1000,9-ary,450,llama-3,0.734800890861553,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model meta-llama/Llama-3.3-70B-Instruct --nary 9 --output runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank1000/9ary/reranked.run --prompt original --rerankN 1000 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Llama-3.3-70B-Instruct/k10/original/rerank1000/9ary/reranked.run
DL20,Original,1000,9-ary,450,Mixtral,0.581114318274086,--collection data/dl20/450_collection_passage.tsv --input dl20/bm25.run --model mistralai/Mixtral-8x7B-Instruct-v0.1 --nary 9 --output runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank1000/9ary/reranked.run --prompt original --rerankN 1000 --topics dl20/topics.jsonl --topk 10,runs/dl20/450/Mixtral-8x7B-Instruct-v0.1/k10/original/rerank1000/9ary/reranked.run
